Connected to: /dev/ttyUSB0
Trial: 0
Correct , 19200 , 600 , 22.9321181774
Correct , 19200 , 800 , 30.8065621853
Correct , 19200 , 1000 , 38.4486410618
Incorrect , 19200 , 1 , 0.0369720458984
Incorrect , 19200 , 200 , 7.65890097618
Incorrect , 19200 , 400 , 15.3914470673
Incorrect , 19200 , 600 , 23.108725071
Incorrect , 19200 , 800 , 30.6651539803
Incorrect , 19200 , 1000 , 38.4195439816
Trial:  5
Correct , 19200 , 1 , 0.0383920669556
Correct , 19200 , 200 , 7.64337778091
Correct , 19200 , 400 , 15.3441720009
Correct , 19200 , 600 , 23.1131160259
Correct , 19200 , 800 , 30.6838450432
Correct , 19200 , 1000 , 38.3858580589
Incorrect , 19200 , 1 , 0.0367078781128
Incorrect , 19200 , 200 , 7.68371701241
Incorrect , 19200 , 400 , 15.4690709114
Incorrect , 19200 , 600 , 23.0212578773
Incorrect , 19200 , 800 , 30.8044059277
Incorrect , 19200 , 1000 , 38.4146130085
Trial:  6
Correct , 19200 , 1 , 0.0349750518799
Correct , 19200 , 200 , 7.6990249157
Correct , 19200 , 400 , 15.3829119205
Correct , 19200 , 600 , 23.0580170155
Correct , 19200 , 800 , 30.689822197
Correct , 19200 , 1000 , 38.5440680981
Incorrect , 19200 , 1 , 0.0368549823761
Incorrect , 19200 , 200 , 7.68904590607
Incorrect , 19200 , 400 , 15.3763949871
Incorrect , 19200 , 600 , 23.04774189
Incorrect , 19200 , 800 , 30.7991428375
Incorrect , 19200 , 1000 , 38.5635781288
Trial:  7
Correct , 19200 , 1 , 0.0398938655853
Correct , 19200 , 200 , 7.71458506584
Correct , 19200 , 400 , 15.3040449619
Correct , 19200 , 600 , 23.1956040859
Correct , 19200 , 800 , 30.7599079609
Correct , 19200 , 1000 , 38.4734859467
Incorrect , 19200 , 1 , 0.0399990081787
Incorrect , 19200 , 200 , 7.69301795959
Incorrect , 19200 , 400 , 15.4337029457
Incorrect , 19200 , 600 , 23.0362370014
Incorrect , 19200 , 800 , 30.899741888
Incorrect , 19200 , 1000 , 38.5221209526
Trial:  8
Correct , 19200 , 1 , 0.0399069786072
Correct , 19200 , 200 , 7.73257112503
Correct , 19200 , 400 , 15.4209909439
Correct , 19200 , 600 , 23.1317138672
Correct , 19200 , 800 , 30.8628928661
Correct , 19200 , 1000 , 38.2950451374
Incorrect , 19200 , 1 , 0.0419018268585
Incorrect , 19200 , 200 , 7.70550203323
Incorrect , 19200 , 400 , 15.3147029877
Incorrect , 19200 , 600 , 23.0184860229
Incorrect , 19200 , 800 , 30.7008390427
Incorrect , 19200 , 1000 , 38.4082829952
Trial:  9
Correct , 19200 , 1 , 0.0407860279083
Correct , 19200 , 200 , 7.6751909256
Correct , 19200 , 400 , 15.3130528927
Correct , 19200 , 600 , 23.0045831203
Correct , 19200 , 800 , 30.728012085
Correct , 19200 , 1000 , 38.5336530209
Incorrect , 19200 , 1 , 0.0380349159241
Incorrect , 19200 , 200 , 7.63966012001
Incorrect , 19200 , 400 , 15.3866701126
Incorrect , 19200 , 600 , 23.0367178917
Incorrect , 19200 , 800 , 30.6271119118
Incorrect , 19200 , 1000 , 38.4986629486
Trial:  0
Correct , 38400 , 1 , 0.0250840187073
Correct , 38400 , 200 , 5.14370799065
Correct , 38400 , 400 , 10.2374169827
Correct , 38400 , 600 , 15.4078888893
Correct , 38400 , 800 , 20.6291069984
Correct , 38400 , 1000 , 25.8161580563
